identifier,abs_difference,raw_difference,reason
33089159,7.758620689655173,7.758620689655173,upos_dist_VERB
28066840,8.079062572002236,-8.079062572002236,upos_dist_PRON
37282883,9.012539184952978,-9.012539184952978,upos_dist_DET
29813734,7.992929455246666,-7.992929455246666,upos_dist_PRON
39563636,8.479207582614634,-8.479207582614634,upos_dist_PRON
40747686,7.405313736574335,7.405313736574335,upos_dist_VERB
36824607,7.0,-7.0,n_sentences
27993775,0.9621802491964946,0.9621802491964946,char_per_tok
37094796,7.345696899449434,7.345696899449434,upos_dist_VERB
40647984,7.0,-7.0,n_sentences
38751307,0.26,0.26,ttr_form_chunks_100
38303381,15.83516483516484,15.83516483516484,tokens_per_sent
32824199,0.9206497552291948,0.9206497552291948,char_per_tok
36687494,0.8085880640465799,0.8085880640465799,char_per_tok
40947331,5.949192009384246,-5.949192009384246,upos_dist_ADJ
39491777,10.767932489451477,10.767932489451477,upos_dist_VERB
34797005,7.0,7.0,n_sentences
38948674,4.875417415874646,-4.875417415874646,upos_dist_PART
34061316,100.6,-100.6,tokens_per_sent
33043786,2.678571428571428,2.678571428571428,verbal_head_per_sent
35118740,4.918032786885246,-4.918032786885246,upos_dist_PART
36654734,0.30000000000000004,0.30000000000000004,ttr_form_chunks_100
29959593,8.159463487332339,8.159463487332339,upos_dist_PRON
34648764,5.46218487394958,-5.46218487394958,upos_dist_PART
34966226,7.628239026969858,7.628239026969858,upos_dist_PRON
34272573,4.89085205812688,-4.89085205812688,upos_dist_PART
37177877,8.697838109602817,-8.697838109602817,upos_dist_DET
37536318,2.5,2.5,verbal_head_per_sent
39874823,6.8573667711598745,6.8573667711598745,upos_dist_VERB
39325349,2.041666666666667,-2.041666666666667,verbal_head_per_sent
32299000,8.0,8.0,n_sentences
38177064,0.26,0.26,ttr_form_chunks_100
32115647,8.203125,8.203125,upos_dist_PRON
31759733,7.627822045152722,7.627822045152722,upos_dist_PRON
38113489,2.3928571428571432,2.3928571428571432,verbal_head_per_sent
37563647,6.983471074380166,6.983471074380166,upos_dist_ADJ
39952285,0.8218944980147471,-0.8218944980147471,char_per_tok
37867705,8.0,-8.0,n_sentences
33107662,5.977280923187881,-5.977280923187881,upos_dist_ADJ
38132442,6.788302560180634,-6.788302560180634,upos_dist_VERB
10592531,0.832988063529644,0.832988063529644,char_per_tok
33792610,11.0,11.0,n_sentences
40387146,2.342857142857143,2.342857142857143,verbal_head_per_sent
36057226,9.46938775510204,-9.46938775510204,upos_dist_DET
38038421,5.882352941176469,-5.882352941176469,upos_dist_PART
35210714,11.0,11.0,n_sentences
37895601,7.859486057955167,7.859486057955167,upos_dist_PRON
38848211,6.705627398038937,-6.705627398038937,upos_dist_ADJ
19030544,8.975979772439949,-8.975979772439949,upos_dist_DET
40993641,0.29000000000000004,0.29000000000000004,ttr_form_chunks_100
15325536,6.284792397971845,-6.284792397971845,upos_dist_ADJ
38690621,2.4423076923076925,2.4423076923076925,verbal_head_per_sent
40556002,7.563025210084033,7.563025210084033,upos_dist_PRON
34422202,2.7727272727272725,2.7727272727272725,verbal_head_per_sent
34127096,9.472544998860789,9.472544998860789,upos_dist_ADJ
17992010,13.559523809523817,13.559523809523817,tokens_per_sent
34778517,9.156378600823043,9.156378600823043,upos_dist_ADJ
36903913,5.1803210339795704,-5.1803210339795704,upos_dist_PART
37727884,0.27,0.27,ttr_form_chunks_100
37959996,0.2699999999999999,0.2699999999999999,ttr_form_chunks_100
37546291,10.532386867790594,-10.532386867790594,upos_dist_DET
31950364,13.464285714285715,-13.464285714285715,tokens_per_sent
33064606,9.45428647734354,9.45428647734354,upos_dist_VERB
38878783,9.0,-9.0,n_sentences
33050005,10.009578544061304,-10.009578544061304,upos_dist_DET
34864432,2.607142857142857,2.607142857142857,verbal_head_per_sent
39732104,0.26,0.26,ttr_form_chunks_100
35773627,5.06875,-5.06875,upos_dist_PART
36674155,7.856154910096817,7.856154910096817,upos_dist_VERB
20780282,0.25,0.25,ttr_form_chunks_100
41053024,0.8949771689497714,-0.8949771689497714,char_per_tok
36478210,7.0,-7.0,n_sentences
40959781,6.50227427384406,-6.50227427384406,upos_dist_ADJ
40122479,0.25,0.25,ttr_form_chunks_100
34428739,0.25,0.25,ttr_form_chunks_100
37151415,2.6411764705882357,-2.6411764705882357,verbal_head_per_sent
30338491,6.0,-6.0,n_sentences
34528978,6.700383676316708,-6.700383676316708,upos_dist_VERB
39731536,2.166666666666667,2.166666666666667,verbal_head_per_sent
40660163,0.62,0.62,ttr_form_chunks_100
36420424,9.977989728539987,-9.977989728539987,upos_dist_PART
12237100,6.0,6.0,n_sentences
40291452,0.8810614738449791,0.8810614738449791,char_per_tok
40701230,6.099206741055265,-6.099206741055265,upos_dist_ADJ
41031801,0.7724375538329022,0.7724375538329022,char_per_tok
35167332,7.769056340484912,7.769056340484912,upos_dist_ADJ
37876946,7.104454685099847,-7.104454685099847,upos_dist_ADJ
35439356,12.31519636700025,-12.31519636700025,upos_dist_ADJ
30501529,20.969506358539586,-20.969506358539586,upos_dist_PART
39318822,14.166666666666668,-14.166666666666668,tokens_per_sent
35863080,16.28571428571428,16.28571428571428,tokens_per_sent
24599921,13.523809523809529,-13.523809523809529,tokens_per_sent
35337109,6.162003049969856,-6.162003049969856,upos_dist_PART
39467696,11.750391396092848,-11.750391396092848,upos_dist_DET
36793052,7.711864406779659,-7.711864406779659,upos_dist_ADJ
37757507,6.201709401709402,6.201709401709402,upos_dist_ADJ
32204456,6.465517241379311,-6.465517241379311,upos_dist_PART
41087108,13.93506493506493,13.93506493506493,tokens_per_sent
37390742,15.439560439560438,15.439560439560438,tokens_per_sent
40399296,20.66666666666667,-20.66666666666667,tokens_per_sent
39464289,7.0,7.0,n_sentences
40419169,1.4516523867809052,-1.4516523867809052,char_per_tok
39611097,7.723200494284831,7.723200494284831,upos_dist_PRON
35738275,2.907692307692307,2.907692307692307,verbal_head_per_sent
38108547,6.508016537259252,-6.508016537259252,upos_dist_VERB
39508866,0.32999999999999996,0.32999999999999996,ttr_form_chunks_100
17941641,8.836617927527016,-8.836617927527016,upos_dist_DET
38257227,13.875,-13.875,tokens_per_sent
39384766,7.119858119393219,-7.119858119393219,upos_dist_PART
36861840,0.2899999999999999,0.2899999999999999,ttr_form_chunks_100
35599169,0.8360420760605711,0.8360420760605711,char_per_tok
34525754,6.626351662993901,6.626351662993901,upos_dist_VERB
35372154,15.110204081632656,-15.110204081632656,upos_dist_PRON
36699813,10.985842985842988,-10.985842985842988,upos_dist_DET
26828871,2.0999999999999996,-2.0999999999999996,verbal_head_per_sent
