,00_average_tfidf
significant,0.463124117843067
including,0.42948866425177523
year,0.38288784196806613
said,0.34827522508254194
new,0.3322869449745795
years,0.3242197211793242
government,0.32374775074021717
uk,0.3169946972254566
seen,0.3073062654541165
recent,0.29790352774772383
expected,0.2903699239525634
concerns,0.26248905970967745
team,0.25460823652567144
country,0.2543288867389153
major,0.2518685323838005
set,0.24669994434716924
time,0.23197759637184248
despite,0.2282812406360001
support,0.22826530152255384
long,0.22649131932634872
according,0.2250182451671389
old,0.2221444530349168
likely,0.2190718669202343
people,0.21582138193723754
high,0.21046471045307963
world,0.2072903518271249
decision,0.20356459168610777
expressed,0.20326205476651565
place,0.2023851196856237
impact,0.20123574833740918
local,0.19892959248647357
need,0.19470165681873694
sparked,0.19262285645879315
working,0.1856747333276333
number,0.18334732079018648
come,0.179893619538416
just,0.17975645362468487
key,0.1777415971211245
make,0.1771717621943771
work,0.17631817282369172
provide,0.16917719683309346
saying,0.16561301236741183
lead,0.1635290891736557
investigation,0.16293248862320409
led,0.1616819056141487
community,0.16030018117298842
left,0.15914163726635858
future,0.15832506867142185
coming,0.1569523134396528
home,0.15591226043044992
announced,0.1548007558227957
british,0.15429583447837053
taken,0.1532133791261076
national,0.15214039294319381
welcomed,0.15081835615992908
action,0.14943397209348658
remains,0.14905522587405046
police,0.14856606810887082
incident,0.14720492459698778
potential,0.14537921802171358
international,0.1453301584841365
months,0.14514935609399734
widespread,0.1424366727027383
series,0.1407630342740616
win,0.13996229813859024
public,0.13943473223970645
raised,0.13885023705892288
city,0.13870399514532644
continue,0.13759698046478727
forward,0.13288660858726528
victory,0.1327934094340941
group,0.13258177559408812
took,0.13080001394442736
000,0.1294984015878021
remain,0.12818034516075347
match,0.1279355019002528
making,0.12752127112619646
social,0.12633080430308843
season,0.1258833371470246
way,0.125392645387108
greater,0.12497957432762279
face,0.12485295032894486
increase,0.12464533549770487
role,0.1245957195291286
latest,0.12415871436148929
calling,0.12409166259186036
efforts,0.12343338959417971
weeks,0.12342634483904422
looking,0.12331876422618904
family,0.12234152741773996
strong,0.12184809843138429
boost,0.1217198023680898
life,0.12023017196448688
issue,0.12019268675784024
services,0.12014091847825362
met,0.12003127932139514
confirmed,0.11917633029063754
closely,0.11877704387523759
called,0.11811116015064473
address,0.11797488805229228
million,0.11623774170203123
groups,0.11528716496773306
ongoing,0.11501145421328501
fans,0.11491129169401111
citing,0.11485407866202722
past,0.11431153077019597
following,0.11427459521611322
united,0.11368564742815482
launched,0.11306349675211405
success,0.11287581694635787
england,0.11258600600130891
use,0.11256952361167957
case,0.11210309573947415
second,0.11174794509031405
known,0.11141315296599702
help,0.11111426136987207
history,0.11046995289082404
performance,0.11022437729080661
plans,0.11014407742917366
ensure,0.10970553250382904
used,0.1094941194877117
players,0.1091100912651025
health,0.10841616668094016
area,0.10795467413625763
taking,0.10795422285297994
pressure,0.10641238459244477
growing,0.10633048659919832
court,0.10626079811193014
media,0.1055585762356144
stating,0.10546339825647472
league,0.10500803009855732
authorities,0.10494113263902446
revealed,0.10438331464761312
bring,0.1042598298565722
spokesperson,0.10320703242541455
safety,0.10298833787358147
praised,0.10268361846709534
result,0.10231870646112864
struggling,0.10187663098369155
european,0.10104964533365556
experience,0.10100870174145068
party,0.10054642019913534
region,0.10051180740446598
clear,0.09991431852976489
company,0.09981814698449447
end,0.09980412243159047
development,0.09974860436426246
campaign,0.09946399911704665
stated,0.09912560369377378
debate,0.09881992318542374
later,0.09772925365436909
leading,0.09769279914104625
argue,0.097455687159655
state,0.0965191044187333
crucial,0.09546282522117909
particularly,0.09460543511897715
manager,0.09451124977833184
ability,0.09427482537308024
club,0.09403513565600868
held,0.09310941993456144
industry,0.09264585662295384
game,0.09257084127639918
london,0.09209226511287875
economy,0.09153709060251529
given,0.09127797122889958
described,0.09120309186942069
report,0.09106365747927593
issues,0.09101512825831021
10,0.09089020346538182
lack,0.09078909368595871
criticism,0.09075955486623716
range,0.09011405818228108
profile,0.090059137968591
young,0.08999891634209849
increased,0.08983412044934892
attack,0.0896018771680421
security,0.08943103657816127
economic,0.08933398640269626
argued,0.08931146347742393
providing,0.08805098256637538
challenges,0.087652929007454
form,0.08730424370522802
power,0.08730136631260893
measures,0.08723454931988434
using,0.08719460513370504
reported,0.08717350825830476
facing,0.0870683317324324
saw,0.08689987438319723
rights,0.08658882092299822
prevent,0.0857951213135993
best,0.08549651289335743
accused,0.0853015843053442
final,0.08398355423885004
current,0.08367922181388664
human,0.08320839204082449
residents,0.0831887406811253
situation,0.08212331764721889
staff,0.08177626468514568
comments,0.08100200416657925
information,0.08054928873270224
day,0.07958972088818081
actions,0.07928285349221528
areas,0.07922260516145392
half,0.0790200312619095
defence,0.07863481469628894
president,0.07863150588743183
risk,0.07850351737702414
man,0.07841085467951062
leaders,0.07800503468488337
minister,0.07791201672105491
funding,0.07778893729037396
death,0.07638090694581985
approach,0.0760745065214551
goal,0.07574244931672929
financial,0.07572070513513629
scottish,0.07551209385562913
office,0.07546616865284639
wales,0.07531826587825709
player,0.07512843854634825
service,0.07485197594633115
countries,0.07452060666410001
scotland,0.07322143683727377
event,0.07303215205133798
council,0.07253873052577176
leader,0.0713114121434066
children,0.07042654000373162
teams,0.07035622837296171
union,0.07019270223425848
football,0.06992368338503827
ireland,0.06987035625156054
deal,0.06843423356044781
families,0.06694440615639277
north,0.06618005115387397
northern,0.06573401608952353
south,0.06461902208820838
cup,0.06427669655279619
education,0.06412833968353798
data,0.0633073506651968
women,0.06327174362655867
project,0.06064727372634625
allegations,0.05990610567500177
west,0.05858091326660299
care,0.05660322456079279
victims,0.05653786246488501
election,0.05555776967338937
welsh,0.05163045077208579
eu,0.05079149393308997
labour,0.0500796744256624
study,0.048686429118142104
abuse,0.047325041927997025
